company_name,top_skills
Meta,"c, debugging, python, pytorch, programming, java, kotlin, testing"
Mainspring Energy,"hardware, programming, communication, testing"
Mach7 Technologies,"c, containerization, devops, docker, flexibility, jenkins, leadership, programming, sql, testing, virtualization, automation"
Lowes Companies, Inc.,"agile, angular, automation, css, docker, java, javascript, jenkins, programming, react, spring, testing, writing"
Microsoft,"agile, algorithms, automation, c, collaboration, communication, debugging, devops, hardware, initiative, innovation, javascript, machinelearning, microservices, networking, nodejs, organization, planning, problemsolving, programming, python, react, scripting, testing, typescript"
MVP Health Care,"agile, planning, react, initiative, angular, devops"
Marriott International,"agile, leadership, programming, python"
Markel,"agile, sql, hardware, programming, automation, devops, communication, organization, flexibility, initiative"
MongoDB,"innovation, testing, planning"
ModMed,"agile, collaboration, innovation, debugging, php, programming"
Mojang Studios,"c, organization, collaboration"
Montage Technology, Inc,"algorithms, python, c, hardware, programming, problemsolving, communication, teamwork, testing"
Motion Recruitment,"agile, algorithms, automation, c, collaboration, communication, django, flexibility, hardware, interpersonal, java, javascript, kafka, leadership, microservices, nodejs, organization, problemsolving, programming, python, spring, sql, typescript, writing"
Moveworks,"organization, automation"
NAVEX,"agile, c, communication, communication, containerization, debugging, docker, innovation, programming, python, sql, testing, planning"
NICE,"agile, automation, problemsolving, communication, decisionmaking, innovation"
NVIDIA,"innovation, hardware, docker, communication"
Narvar,"ruby, react, javascript"
National Association of Insurance Commissioners (NAIC),"organization, communication, flexibility, java, agile, react, sql, spring"
Nationwide,"agile, programming, leadership"
Natsoft,"programming, c"
"Navitas Partners, LLC,"testing, automation"
SecureKloud Technologies,"collaboration, communication, debugging, javascript, programming, testing, ruby"
Selby Jennings,"algorithms, blockchain, c, collaboration, flexibility, motivation, problemsolving, programming, python, rust, testing"
ServiceCore,"react, agile, programming, aspnet, testing, docker, hardware"
ServiceNow,"agile, algorithms, ansible, automation, communication, css, flexibility, go, java, javascript, kafka, kubernetes, networking, organization, problemsolving, react, scripting, spark, sql, testing, virtualization, writing, innovation"
ServiceTitan,"agile, automation, devops, javascript, leadership, planning, programming, testing"
Settle,"communication, decisionmaking, collaboration, ruby, react"
Signify Technology,"scripting, programming, decisionmaking, python"
SimpliSafe,"agile, empathy, flexibility, innovation, microservices, nodejs, php, sql, collaboration"
SimplyApply,"agile, automation, communication, css, docker, flask, javascript, kafka, nosql, php, programming, teamwork, writing"
"Sira Consulting, an Inc 5000 company,"programming, sql, debugging, hardware, python"
Skillable,"testing, agile, react, teamwork, organization"
Skillz,"react, innovation"
Smoothstack,"agile, spring, java"
Snap Inc.,"express, problemsolving, javascript, programming, microservices, nosql"
Snorkel AI,"testing, teamwork, docker, containerization, scripting, communication, debugging"
SoFi,"leadership, initiative, programming, javascript, css"
SoftWriters,"agile, algorithms, collaboration, communication, creativity, leadership, organization, planning, react, sql, testing, typescript"
"Softworld, a Kelly Company,"c, testing, agile, debugging"
SolarEdge Technologies,"communication, organization"
Solomon Page,"sql, testing, agile, programming, communication"
Soni,"organization"
Sonobi,"javascript, collaboration, innovation, automation, resilience, css"
Sony Interactive Entertainment,"communication, testing, programming"
Sovrinti,"innovation, collaboration, agile, communication, microservices, algorithms, sql, programming"
Space Dynamics Laboratory,"virtualization, communication"
SparkLearn,"programming, problemsolving, agile"
Spectrum,"testing, programming, python, java, sql"
SpotOn,"react, go, javascript, agile, kotlin"
