industry_name,unique_skills
Hospitals and Health Care,"agile, algorithms, angular, automation, c, collaboration, communication, containerization, creativity, devops, docker, flexibility, hardware, innovation, interpersonal, java, javascript, leadership, networking, nosql, organization, planning, problem, programming, react, solving, sql, testing, typescript, vue, writing"
Human Resources Services,"agile, algorithms, automation, communication, css, debugging, docker, flask, hardware, javascript, kafka, leadership, microservices, networking, nosql, php, programming, scripting, sql, teamwork, testing, writing"
IT Services and IT Consulting,"agile, algorithms, angular, ansible, asp, automation, c, collaboration, communication, containerization, creativity, css, cybersecurity, debugging, decision, devops, django, docker, empathy, flexibility, go, hadoop, hardware, html, initiative, innovation, interpersonal, java, javascript, jenkins, js, kafka, kotlin, kubernetes, laravel, leadership, making, microservices, motivation, net, networking, node, nosql, organization, php, planning, presentation, problem, programming, python, pytorch, r, react, resilience, ruby, scripting, solving, spark, spring, sql, swift, teamwork, tensorflow, terraform, testing, typescript, vue, writing"
IT System Custom Software Development,"c, collaboration, communication, decision, javascript, making, problem, programming, solving, sql"
Industrial Machinery Manufacturing,"automation, debugging, programming, scripting, testing"
Information Services,"agile, algorithms, angular, asp, automation, bash, c, communication, creativity, css, debugging, devops, docker, flexibility, initiative, java, javascript, jenkins, microservices, net, networking, php, problem, programming, punctuality, python, scripting, solving, sql, testing, writing"
Information Technology & Services,"agile, angular, collaboration, communication, css, devops, html, interpersonal, java, jenkins, kafka, organization, problem, programming, react, solving, spring, sql, teamwork, testing"
Insurance,"adaptability, agile, angular, automation, collaboration, communication, containerization, css, debugging, decision, devops, docker, flexibility, hardware, initiative, innovation, interpersonal, java, javascript, jenkins, js, kafka, kubernetes, leadership, making, microservices, negotiation, node, nosql, organization, planning, problem, programming, python, react, scripting, solving, spring, sql, terraform, testing, writing"
Internet Marketplace Platforms,"automation, collaboration, communication, encryption, go, hardware, java, microservices, planning, programming, python, testing"
Internet News,"agile, angular, automation, collaboration, communication, debugging, leadership, listening, nosql, planning, python, testing, typescript, writing"
Internet Publishing,"communication, networking, react, spark, teamwork"
Investment Management,"communication, interpersonal, java, problem, programming, solving, sql, testing, writing"
Law Practice,"c, collaboration, devops, initiative, innovation, leadership, organization"
Machinery Manufacturing,"agile, algorithms, angular, automation, hardware, leadership, problem, programming, solving, sql, testing"
Manufacturing,java
Maritime Transportation,"collaboration, communication, debugging, java, programming, react, spring, sql"
Market Research,"agile, organization, programming, scripting"
Media Production,"css, devops, html, javascript, scripting"
Medical Equipment Manufacturing,"agile, angular, asp, automation, c, collaboration, communication, css, debugging, devops, flexibility, go, hardware, innovation, interpersonal, javascript, jenkins, leadership, microservices, net, organization, problem, programming, python, react, ruby, scripting, solving, sql, teamwork, testing, writing"
Mental Health Care,"collaboration, containerization, kubernetes, leadership, planning"
Mining,"angular, communication, debugging, devops, innovation, problem, solving, sql, testing, writing"
Motor Vehicle Manufacturing,"agile, angular, asp, automation, collaboration, communication, debugging, devops, docker, interpersonal, java, jenkins, kotlin, kubernetes, leadership, listening, microservices, net, nosql, organization, planning, presentation, problem, programming, python, react, scripting, solving, spring, sql, teamwork, terraform, testing, vue, writing"
Musicians,"blockchain, collaboration, go, java, leadership, teamwork"
Non-profit Organizations,"agile, angular, automation, debugging, java, problem, programming, solving, testing"
Oil and Gas,"agile, collaboration, communication, debugging, empathy, go, java, leadership, microservices, networking, organization, problem, programming, solving, spring"
Outsourcing and Offshoring Consulting,hardware
Pharmaceutical Manufacturing,"angular, devops, nosql, problem, solving, spring, typescript"
Professional Services,"angular, go, java, leadership"
Public Safety,"agile, communication, hardware, planning, programming, python, testing"
Real Estate,"agile, asp, collaboration, communication, css, devops, flexibility, innovation, js, kubernetes, microservices, net, node, organization, planning, programming, react, sql, testing, writing"
Renewable Energy Power Generation,"communication, hardware, programming, testing"
Research Services,"agile, algorithms, c, communication, debugging, hardware, leadership, organization, problem, programming, scripting, solving, testing"
Restaurants,"agile, leadership, programming, testing, writing"
Retail,"agile, angular, automation, collaboration, communication, containerization, css, cybersecurity, debugging, devops, docker, encryption, flexibility, hardware, initiative, innovation, java, javascript, jenkins, kafka, kubernetes, leadership, microservices, networking, nosql, organization, planning, problem, programming, python, react, scripting, solving, spring, sql, swift, terraform, testing, typescript, writing"
Retail Apparel and Fashion,"agile, collaboration, communication, problem, solving"
Retail Office Equipment,"algorithms, nosql, scripting, sql"
Robotics Engineering,"automation, hardware, networking, programming, python, teamwork"
Semiconductor Manufacturing,"agile, algorithms, automation, c, collaboration, communication, debugging, devops, flexibility, hardware, innovation, interpersonal, java, leadership, networking, nosql, problem, programming, python, scripting, solving, spring, testing, virtualization, writing"
Software Development,"adaptability, agile, algorithms, angular, ansible, asp, automation, bash, bootstrap, c, collaboration, communication, containerization, creativity, css, cybersecurity, debugging, decision, devops, django, docker, empathy, encryption, express, flexibility, go, hardware, html, initiative, innovation, interpersonal, java, javascript, jenkins, js, kafka, kotlin, kubernetes, laravel, leadership, learning, listening, machine, making, microservices, net, networking, next, node, nosql, organization, php, planning, problem, programming, python, r, react, resilience, ruby, rust, scripting, solving, spark, spring, sql, svelte, swift, teamwork, terraform, testing, typescript, virtualization, vue, writing"
Staffing and Recruiting,"adaptability, agile, algorithms, angular, asp, automation, bash, c, collaboration, communication, containerization, cybersecurity, debugging, devops, django, docker, encryption, flexibility, go, hadoop, hardware, initiative, innovation, interpersonal, java, javascript, jenkins, js, kafka, kubernetes, leadership, microservices, net, networking, node, nosql, organization, planning, presentation, problem, programming, python, react, ruby, scripting, solving, spark, spring, sql, teamwork, terraform, testing, typescript, writing"
"Technology, Information and Internet","agile, algorithms, asp, automation, blockchain, c, collaboration, communication, containerization, creativity, debugging, decision, devops, django, docker, empathy, flexibility, go, hardware, initiative, innovation, interpersonal, java, javascript, jenkins, js, kotlin, kubernetes, laravel, leadership, making, microservices, net, networking, node, nosql, organization, php, planning, presentation, problem, programming, python, pytorch, react, ruby, scripting, solving, spring, sql, svelte, swift, testing, writing"
"Technology, Information and Media","agile, automation, collaboration, communication, decision, django, flexibility, hardware, interpersonal, java, javascript, kubernetes, making, microservices, networking, nosql, organization, problem, programming, python, react, ruby, rust, solving, testing, writing"
Telecommunications,"automation, c, communication, decision, java, making, problem, programming, python, scripting, solving, sql, testing"
"Transportation, Logistics, Supply Chain and Storage","automation, collaboration, devops, go, java, leadership, programming, python, sql, testing"
Truck Transportation,"agile, angular, automation, c, communication, containerization, devops, go, html, java, leadership, microservices, nosql, organization, planning, programming, sql, testing"
Utilities,"agile, c, collaboration, communication, debugging, decision, hardware, initiative, making, negotiation, nosql, planning, problem, programming, solving, sql, teamwork, testing"
Veterinary Services,"agile, java, javascript, js, node, programming, react, spring, sql"
Wellness and Fitness Services,"communication, teamwork"
Wholesale Building Materials,"communication, css, leadership, php, problem, react, solving, teamwork"
Writing and Editing,"java, js, node"
