industry_name,top_skills
Defense and Space Manufacturing,"decision-making, hadoop algorithms, c++, c++, hardware, flexibility, resilience, innovation agile, automation, automation, devops, innovation, creativity programming, java, scripting, programming, ruby, testing, presentation, testing organization, planning, hardware, leadership, agile, hardware, hardware  java, testing, spring java networking, debugging, programming, planning, testing, communication, planning, planning, planning, planning, initiative devops, devops, programming, bash, collaboration, cybersecurity hardware, programming, organization innovation, communication  hardware, programming, networking, communication, planning, organization networking, debugging, programming, planning, testing, communication, planning, planning, planning, planning, initiative collaboration networking, debugging, programming, planning, testing, communication, planning, planning, planning, planning, initiative networking, debugging, programming, planning, testing, communication, planning, planning, planning, planning, initiative networking, debugging, c++, rust, planning, testing, communication, planning, planning, initiative agile, multitasking, hardware, communication, express, writing, agile, communication, javascript, organization devops, debugging, python, python, python, javascript, python, python, javascript devops, devops, devops, devops, devops, devops, swift, devops, leadership, flexibility, communication, collaboration, devops, devops, scripting, automation, automation, networking, kubernetes, containerization, communication, interpersonal, problem-solving, initiative, collaboration, organization, kubernetes, devops virtualization, communication c++, c++, programming, testing, hardware, hardware, hardware hardware, testing, testing, c++, scripting, python, communication, interpersonal, problem-solving, agile, leadership flexibility devops, leadership, testing, automation, interpersonal, python, scripting, testing, automation, scripting, automation, python, scripting, automation, automation, leadership, python, bash, agile, automation, testing, containerization, containerization organization, agile, agile, communication, interpersonal, problem-solving, teamwork agile, c++, cybersecurity, cybersecurity, python, docker, testing, java, containerization, cybersecurity, problem-solving, cybersecurity, networking, innovation agile, c++, cybersecurity, cybersecurity, python, docker, testing, java, containerization, cybersecurity, problem-solving, cybersecurity, networking, innovation agile, testing, testing, c++, java, leadership, innovation collaboration, agile leadership, leadership, testing, communication, agile testing, leadership, communication, hardware leadership, communication, planning, algorithms leadership, debugging c++, agile, programming, agile, leadership, leadership, agile, communication programming, c++, programming, python, programming, programming, python, c++, collaboration, creativity"
Design Services,"collaboration, programming, ruby, javascript, communication, communication, react, ruby, communication, communication, agile, leadership, collaboration, spark testing, hardware, communication, interpersonal"
E-Learning Providers,"writing, agile, python, collaboration creativity, writing, agile, collaboration programming, programming, programming, problem-solving, agile"
Education Administration Programs,"empathy, automation"
Engineering Services,"hardware, programming, python, hardware, communication, hardware, debugging c++, programming, c++, testing, leadership, problem-solving, communication, teamwork, c++, programming c++, programming testing, sql, automation, communication, java, programming, testing, sql, automation, automation devops, algorithms, devops, python, python, python, sql, sql, agile, debugging, devops, collaboration, communication, interpersonal, python, c#, devops"
Entertainment Providers,"react, innovation react, innovation react, innovation creativity, creativity, hadoop, creativity flexibility, innovation, javascript, flexibility, leadership, javascript, react, automation, css, html, css innovation, creativity, automation, automation, testing, programming, automation, testing, problem-solving, collaboration, communication, react, node.js, agile, writing  innovation, agile, interpersonal, programming creativity, creativity, algorithms, algorithms, planning, c++, communication, leadership, creativity sql, writing, kubernetes, docker, programming, collaboration c#, algorithms, c#, sql, nosql, c#, debugging, sql, nosql, microservices, writing leadership, leadership, testing, programming, programming, sql, nosql creativity, creativity, express, innovation, communication, collaboration, creativity, problem-solving, creativity c#, algorithms, c#, sql, nosql, c#, debugging, sql, nosql, microservices, writing collaboration, testing, collaboration, html, react creativity, creativity, go, creativity creativity, creativity, go, creativity creativity, creativity, go, creativity creativity, creativity, go, creativity flexibility, testing, java, programming, java java, agile, java, spring, interpersonal, communication, communication"
Environmental Services,"react, agile, testing, communication, react, typescript, communication"
Facilities Services,"algorithms, testing, algorithms"
Farming,"docker, devops"
Financial Services,"flexibility, planning, automation, communication, presentation, problem-solving, organization, networking programming, nosql, docker, go, agile kafka, agile, programming, nosql, docker, node.js, agile programming, nosql, docker, go, agile programming, nosql, docker, go, agile programming, nosql, docker, node.js, agile leadership, programming, nosql, docker, sql, python, agile, communication programming, nosql, docker, node.js, agile programming, nosql, docker, node.js, agile leadership, programming, nosql, docker, sql, python, agile, communication programming, nosql, docker, node.js, agile testing, agile, microservices, python, nosql, agile, agile, communication, interpersonal, problem-solving, motivation programming, nosql, docker, node.js, agile programming, nosql, docker, go, agile programming, nosql, docker, node.js, agile agile, programming, kafka, docker, agile programming, nosql, docker, node.js, agile spring, agile, programming, nosql, docker, node.js, agile leadership, programming, nosql, docker, sql, python, agile, communication leadership, programming, nosql, docker, sql, python, agile, communication programming, nosql, docker, node.js, agile programming, nosql, docker, node.js, agile spring, agile, programming, nosql, docker, node.js, agile blockchain, testing, blockchain, microservices, react, docker programming, nosql, docker, node.js, agile agile, programming, nosql, docker, go, agile leadership, programming, nosql, docker, sql, python, agile, communication kubernetes, kubernetes, kubernetes, kubernetes, kubernetes, networking, debugging, kubernetes, kubernetes programming, nosql, docker, node.js, agile kafka, agile, programming, nosql, docker, node.js, agile spring, agile, programming, nosql, docker, node.js, agile programming, nosql, docker, node.js, agile agile, programming, nosql, docker, node.js, agile automation, organization, agile, programming, java, automation, agile, agile, automation, automation, agile, automation, organization, agile, go, go automation, organization, agile, programming, java, automation, agile, agile, automation, automation, agile, automation, organization, agile, go, go automation, organization, agile, programming, java, automation, agile, agile, automation, automation, agile, automation, organization, agile, go, go flexibility, leadership, go, kubernetes, communication, collaboration, leadership, flexibility, initiative automation java, spring algorithms, python, flexibility interpersonal, communication, java, spring, sql, microservices, python, kafka, java communication, teamwork, agile, leadership, innovation, programming, javascript, node.js, agile, communication, collaboration, java, java, java, spring, nosql, programming, testing java, planning java, planning java, planning flexibility, planning, flexibility, initiative problem-solving, communication, agile, sql, devops java, spring, planning programming, leadership, debugging, programming, sql, scripting, sql, agile kafka, agile, programming, nosql, docker, node.js, agile programming, nosql, docker, node.js, agile kafka, agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, typescript, agile, cybersecurity, testing agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, typescript, agile, cybersecurity, testing agile, programming, nosql, docker, typescript, agile, cybersecurity, testing agile, programming, nosql, docker, typescript, agile, cybersecurity, testing agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, spring, agile programming, nosql, docker, node.js, agile agile, programming, nosql, docker, spring, agile programming, nosql, docker, go, agile microservices, agile, javascript, programming, css, agile, sql microservices, microservices, jenkins, terraform, angular, agile, sql automation, testing, testing, automation, agile, programming, nosql, docker, node.js, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile automation, testing, testing, automation, agile, programming, nosql, docker, node.js, agile agile, agile, swift, leadership, swift, swift, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile microservices, agile, programming, nosql, docker, go, agile agile, programming, nosql, docker, node.js, agile programming, nosql, docker, go, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile programming, nosql, docker, go, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile programming, nosql, docker, go, agile programming, nosql, docker, spark, go, agile automation, testing, testing, automation, agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, node.js, agile programming, nosql, docker, go, agile agile, collaboration, microservices, java, agile, programming, nosql, docker, go, agile agile, programming, nosql, docker, node.js, agile innovation, planning, automation, automation, testing, automation, programming, node.js, java, automation, automation, testing, testing, networking, planning flexibility, kubernetes, kubernetes, kubernetes, kubernetes, kubernetes, kubernetes, kubernetes agile, algorithms, programming, agile, java, spring, sql, testing, automation, sql, sql, sql leadership, innovation, spring, kubernetes, planning, programming, problem-solving, communication, programming, python, kafka planning planning algorithms, planning programming, planning algorithms, planning programming, planning typescript, communication, communication, python, problem-solving organization sql, communication organization collaboration, c++, testing, python, testing, programming, c++, programming agile, planning, problem-solving, go, c#, agile, communication, teamwork microservices, communication, collaboration agile, angular, java, spring, collaboration, leadership, collaboration, java, sql, leadership, go, go agile, algorithms, programming, spring, automation, programming, agile, programming innovation, planning agile, programming, decision-making, programming, agile, testing, debugging, programming collaboration, devops, collaboration algorithms, programming, agile, spark, java agile, agile, agile, agile, sql, spring, networking, problem-solving collaboration, initiative, initiative, problem-solving, communication, blockchain, go collaboration, initiative, initiative, problem-solving, communication, blockchain, go agile, algorithms, programming, agile  programming, spark, nosql, docker, node.js, agile leadership, initiative, programming, javascript, css agile, programming, nosql, docker, go, agile agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, go, agile communication, leadership, microservices, jenkins, terraform, communication, presentation, leadership, go, microservices, agile, go collaboration, initiative, initiative, problem-solving, communication, blockchain, go communication, leadership, css, microservices, jenkins, terraform, communication, presentation, leadership, angular, microservices, agile, sql agile, programming, nosql, docker, node.js, agile kotlin, rust, swift, kotlin, rust, blockchain, go agile, programming, nosql, docker, go, agile agile, programming, nosql, docker, go, agile agile, angular, java, spring, collaboration, leadership, collaboration, java, sql, leadership, go, go agile, programming, nosql, docker, node.js, agile programming, spark, nosql, docker, node.js, agile writing, agile, sql, communication, networking, go programming, angular, java, spring, kotlin, sql angular, c#, angular, c#, programming, angular, c#, angular, c#, bootstrap, agile, problem-solving, communication, collaboration devops, devops, testing, programming, sql, programming, c#, javascript, scripting, devops, teamwork python, programming, programming, spark, programming, nosql, communication, flexibility typescript, innovation, python, typescript, react, react, typescript, docker, kubernetes, sql innovation, planning, agile flexibility, leadership, communication programming, programming, collaboration, agile, spring, testing, planning, java, angular, communication, automation, kafka, kubernetes innovation, planning, spring programming, programming, collaboration, agile, spring, testing, planning, java, angular, communication, automation, kafka, kubernetes writing, agile, sql, communication, networking, go angular, c#, angular, c#, programming, angular, c#, angular, c#, bootstrap, agile, problem-solving, communication, collaboration agile, agile, kotlin, leadership, kotlin, kotlin, agile innovation, organization, innovation, agile, python, agile agile, agile, kotlin, leadership, kotlin, kotlin, agile agile, programming, nosql, docker, go, agile, cybersecurity, testing agile, agile, swift, leadership, swift, swift, agile microservices, programming, javascript, typescript, java, agile agile, programming, nosql, docker, go, agile, cybersecurity, testing agile, programming, nosql, docker, sql, agile motivation, go, c++, c++, containerization, agile agile, programming, nosql, docker, node.js, kubernetes, docker, agile motivation, go, c++, c++, containerization, agile innovation, organization, innovation, agile, python, agile agile, programming, nosql, docker, go, agile, cybersecurity, testing motivation, go, c++, c++, containerization, agile agile, nosql, docker, python, agile motivation, go, c++, c++, containerization, agile agile, programming, nosql, docker, node.js, kubernetes, docker, agile microservices, microservices, programming, javascript, typescript, java, agile agile, programming, nosql, docker, node.js, kubernetes, docker, agile motivation, go, c++, c++, containerization, agile java, java, testing, collaboration, java, programming, communication organization, debugging, testing, agile, communication, go, go organization, debugging, testing, agile, communication, go, go organization, debugging, testing, agile, communication, go, go problem-solving, innovation, writing, sql, innovation, problem-solving, presentation, interpersonal, communication kotlin, rust, swift, kotlin, rust, blockchain, go python, problem-solving flexibility, leadership, communication organization, python, programming, testing, devops, automation, jenkins, writing, problem-solving, collaboration, go, go organization, python, programming, testing, devops, automation, jenkins, writing, problem-solving, collaboration, go, go organization, python, programming, testing, devops, automation, jenkins, writing, problem-solving, collaboration, go, go automation innovation, planning innovation, planning, sql, java agile, programming, decision-making, programming, agile, testing, debugging, programming organization, python, programming, testing, devops, automation, jenkins, writing, problem-solving, collaboration, go, go agile, programming, nosql, docker, spring, agile programming, nosql, docker, go, agile agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, node.js, agile agile, programming, nosql, docker, spring, agile programming, nosql, docker, go, agile python, sql agile, algorithms, programming, agile leadership blockchain, programming, collaboration, rust, rust, rust, testing, blockchain programming, motivation c++, python microservices, programming, javascript, typescript, typescript, agile programming, nosql, docker, go, agile agile, programming, nosql, docker, java, javascript, agile agile, programming, nosql, docker, java, javascript, agile microservices, programming, javascript, typescript, typescript, agile microservices, programming, javascript, typescript, typescript, agile programming, nosql, docker, go, agile debugging, sql, problem-solving, leadership, communication, networking, writing, flexibility kotlin, kotlin, testing, automation, rust, kotlin, blockchain, go devops, sql, communication, devops, sql, devops, problem-solving"
Food and Beverage Manufacturing,"leadership, microservices, leadership, microservices, devops, react, react, problem-solving"
Food and Beverage Services,"javascript, testing, testing, innovation, angular, testing, css, sql, communication, tensorflow, communication, teamwork planning, ruby, programming, testing, collaboration, testing, agile, testing, leadership, communication, writing, flexibility, ruby, ruby planning, ruby, programming, programming, testing, collaboration, testing, agile, testing, communication, writing, flexibility, ruby, ruby"
Higher Education,"leadership, testing, sql, testing, sql, html, scripting, writing, java, java, interpersonal, sql, interpersonal innovation, react, programming writing, hardware, organization, problem-solving automation, communication, flexibility, decision-making automation, communication, flexibility, decision-making sql, testing, writing innovation, devops, devops, programming, programming, problem-solving, communication, interpersonal automation, communication, flexibility, decision-making automation, problem-solving, communication hardware, hardware, testing, problem-solving, programming, communication, planning, debugging, scripting, python"
Hospitality,"programming, python, agile, leadership, agile, leadership problem-solving, automation, testing, communication, agile, interpersonal, spring"
Hospitals and Health Care,"testing, nosql, java, react leadership, collaboration programming, agile, organization, organization, planning, agile, testing, creativity, innovation, leadership typescript, javascript, testing, flexibility, agile, agile, typescript, javascript, testing, automation automation, leadership, problem-solving, nosql, collaboration agile, vue, leadership, writing, devops, organization, leadership c++, hardware, testing, communication, leadership, collaboration, c++, agile leadership, collaboration testing, agile, communication, sql, testing, nosql testing, nosql, java, react organization, agile, testing, writing, algorithms, leadership, agile, planning, agile, c++, java, testing, communication, problem-solving, agile, networking, docker, leadership, communication, leadership interpersonal, communication, creativity programming, testing  agile, sql, networking, devops, automation, communication, collaboration, organization, leadership angular, angular, react organization, leadership, agile, agile, flexibility, flexibility, organization, leadership, programming, automation planning, leadership, interpersonal, planning, communication, planning, leadership, containerization, programming, programming"
Human Resources Services,"javascript, javascript, css, php, flask, communication, teamwork, writing, automation kafka, agile, programming, nosql, docker, agile leadership, agile, hardware, microservices, scripting, sql, programming, leadership programming, nosql, docker, agile programming, nosql, docker, agile programming, nosql, docker, agile programming, nosql, docker, agile programming, programming, programming, programming, algorithms, debugging, hardware, agile, communication, networking, testing, agile"
IT Services and IT Consulting,"innovation, collaboration, agile, communication, microservices, algorithms, sql, programming communication, sql, initiative, c# communication, problem-solving, networking automation, automation, automation, devops, creativity c#, vue organization, innovation, communication, java, automation, agile, programming, spring, spring, react, testing, devops, automation, scripting, agile, programming, html, css agile, leadership, communication, programming, agile, agile, java, spring, programming, testing innovation, automation, java, javascript, react, organization, agile, flexibility debugging, testing, hardware, testing, agile, agile, agile, agile, python, agile, interpersonal, presentation, communication algorithms, spark, spark, kafka, sql, writing, problem-solving, communication, flexibility java, spark, spark, kafka, problem-solving, communication, kubernetes, testing, flexibility innovation, creativity, innovation, collaboration, collaboration, programming, programming networking, c#, c#, programming, problem-solving, communication, collaboration automation, java, javascript, react, flexibility agile, javascript, testing, react, testing, problem-solving agile, typescript, typescript, typescript, javascript, programming, typescript, testing, problem-solving, typescript agile, containerization, docker, devops, scripting, containerization, docker, networking, problem-solving, communication, devops agile, javascript, programming, nosql, problem-solving agile, devops, containerization, docker, problem-solving agile, swift, programming, networking, problem-solving agile, testing, testing, testing, programming, testing, automation, testing, problem-solving, testing agile, react, laravel, php, laravel, php, programming, laravel, problem-solving, laravel agile, python, python, python, programming, programming, python, programming, problem-solving, python agile, spring, javascript, spring, problem-solving agile, asp.net, asp.net, c#, programming, programming, asp.net, asp.net, sql, problem-solving agile, r, algorithms, programming, algorithms, problem-solving agile, react, react, react, javascript, programming, react, testing, debugging, problem-solving, react agile agile, r, algorithms, algorithms, programming, algorithms, problem-solving agile, sql, r, programming, decision-making, sql, sql, programming, python, r, problem-solving agile, javascript, javascript, programming, problem-solving, javascript agile, java, java, programming, java, spring, problem-solving, java agile, r, algorithms, programming, algorithms, problem-solving agile, spring, javascript, spring, problem-solving agile, kubernetes, node.js, node.js, programming, containerization, docker, problem-solving, node.js agile, ruby, ruby, ruby, ruby, programming, problem-solving, ruby agile, javascript, programming, nosql, problem-solving agile, kotlin, java, programming, networking, problem-solving agile, php, programming, problem-solving, communication, leadership agile, javascript, writing, testing, agile    devops, programming, sql, nosql, containerization, problem-solving, communication leadership, leadership, ansible, kafka, collaboration, teamwork, java, sql, scripting, spring, kubernetes testing, testing java, spring, spring, kubernetes, sql, writing, agile, terraform agile, automation, leadership, agile, agile, agile, devops testing, leadership, leadership, motivation, sql, docker, agile, devops, angular, python programming, problem-solving, planning typescript, angular, containerization, node.js, containerization, problem-solving, communication, collaboration organization, teamwork, programming, kotlin, microservices c#, agile, c#, sql, debugging, sql, devops microservices, algorithms, programming programming, go, c++, kubernetes, kubernetes, initiative  c++, java, hardware, python, programming, programming, hardware, c++, programming, programming, programming, debugging hardware, c++  testing, agile, algorithms, agile, java, agile, programming, scripting, devops   communication testing, agile, algorithms, agile, java, agile, programming, scripting, devops testing, agile, agile, java, agile, programming, scripting, devops spring, agile leadership, organization, spring, spring, docker, kubernetes, docker, agile, kafka, terraform javascript java, java, spring, flexibility, microservices, spring, problem-solving, agile, communication, teamwork javascript, automation, agile, javascript, testing, scripting, typescript, testing, jenkins, docker, containerization, innovation, devops hardware, testing, testing, collaboration, programming, hardware, problem-solving, debugging, communication, java agile, django, agile, planning, programming, python, devops, problem-solving, communication automation, problem-solving, automation, automation, automation, automation, automation, debugging innovation, flexibility c++, java, communication, programming, testing, debugging planning, testing, programming, agile, node.js, communication leadership, java, spring, sql, spring, spring, jenkins, nosql, spark, spark, testing, automation, agile, problem-solving agile, automation, programming, terraform spark, kafka, kubernetes, networking, programming, automation, scripting, python, flexibility java, java, kafka communication, problem-solving, communication, nosql, agile, communication, nosql, problem-solving, communication, collaboration, agile spring, leadership, spring, leadership, innovation, testing, spring, microservices, leadership, communication, interpersonal, agile, devops, devops leadership, java, spring, sql, spring, spring, jenkins, nosql, spark, spark, testing, automation, agile, problem-solving writing, java java, devops, leadership, java, microservices collaboration, problem-solving, communication testing, testing, testing, communication organization agile, agile, communication, agile, go organization, spark, sql, agile, writing, organization, communication, leadership, networking, planning, innovation, go java, java, java, java, flexibility, flexibility problem-solving javascript, javascript, python, automation, automation, agile, automation, testing, automation, java, javascript, jenkins, automation, automation, agile innovation, leadership, innovation automation, testing, automation, networking, initiative programming, programming, problem-solving, agile programming, sql, communication, communication pytorch, tensorflow devops, innovation, organization, devops, agile, spark, problem-solving, communication, flexibility, spark, planning, innovation, go initiative, agile, organization, decision-making, programming, python, devops agile, agile, initiative automation, automation, testing, automation, testing, automation, problem-solving, testing, flexibility, collaboration hardware, programming, communication, sql, planning, devops automation, automation, automation, automation, automation, java, automation, java, communication, java, automation, automation, automation, automation, automation, automation, java, java, automation, java, automation sql, java, communication programming, programming, sql organization, c#, programming, java, react, agile, testing, programming organization, communication, programming, kubernetes, devops, devops angular, flexibility, testing, debugging, problem-solving, communication, react, javascript testing, testing, testing, automation, problem-solving, automation, problem-solving, flexibility, collaboration agile, agile, initiative flexibility, hardware, communication, cybersecurity, resilience, java flexibility, hardware, communication, cybersecurity, resilience, java hardware, programming, communication, sql, planning, devops spring, spring, spring, spring, spring, kafka, kafka, kafka, kafka, kafka, kafka asp.net, sql javascript innovation, java, leadership, agile, agile devops, writing, testing, communication, communication, interpersonal, testing, hardware programming, programming, programming, programming, communication, collaboration testing, programming, microservices, kubernetes, kafka c#, c#, writing, testing, asp.net, asp.net, sql, writing, programming, devops, debugging, problem-solving debugging, hardware, python, python, programming, debugging, hardware agile, nosql, programming go, algorithms, testing, testing, programming, c#, sql, testing, javascript, react, flexibility, innovation programming, programming, sql react java, sql, testing, agile, communication, java, microservices, sql java, java, spring, nosql, kafka, spring, agile, programming, spring, microservices, kafka, agile, html, java, leadership, collaboration automation, decision-making, automation, automation, testing, sql, automation, testing, jenkins, testing, sql, testing, html, communication, python, programming, programming, testing, writing, sql, html flexibility, flexibility, networking, programming, java, nosql, networking, java, java, programming, java, networking, programming, sql, nosql, networking, java, java, communication, presentation, communication, presentation, flexibility agile, spring, microservices, typescript, sql, nosql, problem-solving, debugging, communication, collaboration, devops, react, containerization, kubernetes, agile, planning, testing, java, spring, java, spring, microservices flexibility, flexibility leadership, containerization, testing, devops, python, sql, nosql, collaboration, agile, sql, nosql interpersonal, communication, agile, organization, interpersonal, communication, agile communication, leadership, c++, scripting, scripting, automation, agile programming, python, hardware, communication agile, agile, microservices, programming, testing, testing, php, sql, scripting, automation, leadership, flexibility agile, agile, spring, automation automation, writing, sql, sql, communication, sql, sql, communication java, spring, nosql, communication testing, javascript, programming, microservices, java, scripting, python, sql, sql, programming, java, interpersonal, communication, asp.net, asp.net, asp.net, c#, sql programming, problem-solving, communication leadership, initiative, programming, testing, debugging, programming, collaboration, agile, microservices, javascript, angular, css, css, testing, containerization, organization algorithms vue, communication, programming, debugging, devops, problem-solving, communication, go, flexibility programming, c++, programming, c++ testing, debugging, communication, spring, nosql programming, c++, programming, c++  programming, c++, programming, c++ javascript agile, programming, docker, kubernetes, automation java, kafka, go, python, writing, testing, leadership agile, spring, java devops, docker, react, spring, agile, devops automation, testing, testing, testing typescript, node.js, empathy, planning, organization, leadership agile, agile, communication java, java, leadership, java, java, leadership, java, java, java, containerization networking, agile, hardware, hardware, debugging algorithms, hardware, algorithms, hardware, algorithms, hardware, c++ java, react, java, spring, microservices, angular, problem-solving, communication, leadership, agile react, react automation, programming, scripting, python, python, testing, sql, sql, writing, automation, automation, automation, agile, agile java, java devops, communication, programming, typescript, angular testing, automation, testing, testing, testing, testing, testing, testing, testing, testing testing, automation, testing, testing, jenkins, testing, testing, testing, testing, testing, testing kubernetes, communication, kubernetes, programming, go, kubernetes, kubernetes, problem-solving, teamwork, communication, programming python, python, python, microservices, programming, programming, python, microservices angular, testing, angular, debugging, agile algorithms, spark writing, agile, automation, agile, devops, collaboration, interpersonal testing, testing, go agile, testing, sql, interpersonal, agile, go agile, communication, nosql, hadoop, planning, innovation, go communication, sql, sql, writing programming, jenkins, programming, jenkins, devops, organization sql, sql, sql, sql, sql, sql, sql, python, react, agile organization, agile, communication, organization"
IT System Custom Software Development,"sql, sql, javascript, sql, sql, problem-solving, communication, collaboration, javascript, decision-making, javascript c++, programming, c++, programming, c++"
Industrial Machinery Manufacturing,"scripting, testing, debugging, testing, automation, programming"
Information Services,"algorithms, writing, algorithms, testing, python, scripting, scripting automation, testing, programming, python, sql, agile, sql, python, python, sql, testing, python, programming, testing, javascript, python, automation, automation, python, sql, agile, automation, testing, automation, java, javascript, jenkins, automation, automation, agile, automation, testing, testing, sql, automation, communication, java, programming, testing, sql, automation, automation java, java, automation, programming, jenkins, automation agile, communication, agile, problem-solving, communication, microservices, sql, agile, creativity sql, asp.net initiative, php, php, javascript, testing, php, bash, javascript, css sql, testing, communication, testing, sql, asp.net angular, asp.net, c#, sql, agile, asp.net, sql, writing, punctuality javascript, testing, sql debugging, programming, problem-solving, communication sql, networking, automation, automation, devops, c#, python, angular, angular, angular, c#, python, docker agile, agile, flexibility, automation, programming, c#, sql, agile, agile"
Information Technology & Services,"java, java, sql  java, java, java programming, communication, problem-solving teamwork, testing, agile, react, testing, react, testing, agile, organization java, java, spring, kafka, angular, html, css, jenkins agile, devops, problem-solving, collaboration programming, programming, problem-solving, agile, communication, interpersonal"
